	gene	cluster_1	cluster_2	cluster_3	cluster_4	cluster_5	cluster_6	cluster_7
9246	EVX2	0	0	0	0	0	0	0
9247	EWSR1	0.2120391289	0.26404746	0.3995295666	0.2046317986	0.2908441118	0.3978083625	0.1710909457
9248	EXD1	0	0	0	0	0	0	0
9249	EXD2	0.0070136359	0.0055558365	0.0051005225	0.0034847117	0	0.0086957658	0.0025070709
9250	EXD3	0.0043833225	0.015518408	0	0.0082596726	0.0183290578	0.0345723456	0.0114022318
9251	EXO1	0.0010493948	0	0	0	0	0	0
9252	EXO5	0.0031293281	0	0.0031227162	0.0118883222	0.0070004889	0.0121954776	0.0080353332
9253	EXOC1	0.0268630869	0.0451719809	0.0249703663	0.0488091277	0.0406975625	0.0279758755	0.0248612976
9254	EXOC2	0.0331672386	0.0324113341	0.0258636224	0.0048031496	0.0756525864	0.0834242841	0.02817819
9255	EXOC3	0.0287998671	0.0402498524	0.0487763653	0.0292568106	0.0678948147	0.0356575728	0.0275830264
9256	EXOC3L1	0	0	0.0039132275	0.0329131209	0	0	0.0410808821
9257	EXOC3L2	0	0.004670788	0	0	0	0	0
9258	EXOC3L4	0	0	0	0	0	0	0
9259	EXOC4	0.0523628326	0.1112640456	0.0548929362	0.0290136724	0.071070562	0.0649462369	0.0486365949
9260	EXOC5	0.036644831	0.0414139056	0.0466134194	0.0100965112	0.0454756441	0.0355927525	0.0188601552
9261	EXOC6	0.0389177774	0.0296924674	0.0129063032	0.1068301307	0.0443209655	0.0265414023	0.0241927926
9262	EXOC6B	0.0045032873	0.0025159535	0.0114264427	0.0026338839	0.0093121701	0.0098989703	0
9263	EXOC7	0.0708509455	0.0907275444	0.1252614771	0.1159761819	0.1418018679	0.1121781912	0.0785580071
9264	EXOC8	0.0107097677	0.0084082811	0.0082532684	0.0110396761	0.0082630173	0.0216579015	0.0130235737
9265	EXOG	0.0494106509	0.0759587789	0.0269740082	0.0189422232	0.1157289476	0.0523778278	0.0092428636
9266	EXOSC1	0.0992790868	0.131732579	0.1247331737	0.1625364397	0.1962608421	0.1485689724	0.1399775434
9267	EXOSC10	0.0314906707	0.0521722473	0.046018498	0.0356812356	0.0483022805	0.0522357131	0.0336951909
9268	EXOSC2	0.0203815954	0.0337877113	0.0437438625	0.0217159611	0.017718907	0.0316022561	0.021107335
9269	EXOSC3	0.0401368917	0.0549949544	0.0443497222	0.046935442	0.0844484355	0.0415194547	0.0656101051
9270	EXOSC4	0.0218212777	0.0369098024	0.0196531017	0.0919339389	0.0661526861	0.0412227841	0.053890969
9271	EXOSC5	0.0694984694	0.0801714228	0.0535202553	0.0600231794	0.0720345771	0.0638286702	0.0696808266
9272	EXOSC6	0.0425695723	0.0208692265	0.0238607893	0.0393960248	0.0409368872	0.082473667	0.0350123447
9273	EXOSC7	0.0687683677	0.0862714074	0.0841813987	0.0655108802	0.1226055619	0.0837733267	0.0445029686
9274	EXOSC8	0.1753563129	0.0931980207	0.1158441203	0.0730555178	0.1362603113	0.076161849	0.0567722414
9275	EXOSC9	0.0363343289	0.0613703909	0.0408175727	0.0407312613	0.0921155974	0.0350978104	0.0397607831
9276	EXPH5	0	0	0	0	0.0047196582	0.0027445365	0
9277	EXT1	0.0009295499	0.0041181793	0.0018791065	0.0126648318	0	0	0.0137341607
9278	EXT2	0.0229225382	0.0153576405	0.017047164	0.0225527015	0.0460012334	0.0319047447	0.0266759442
9279	EXTL1	0	0	0	0	0	0	0
9280	EXTL2	0.0061859789	0.0139913912	0.0113302551	0.0050541513	0.0162971254	0.0137004133	0.0069190836
9281	EXTL3	0.0039003242	0	0.0087063237	0.0164170848	0.0142601337	0.0053014717	0.0018148352
9282	EXTL3.AS1	0.0015969693	0	0	0	0	0	0
9283	EYA1	0	0	0	0	0	0	0
9284	EYA2	0	0	0	0	0	0	0
9285	EYA3	0.0097053609	0.0136577682	0.0121297745	0.0265530245	0	0.0228745398	0.0145480004
9286	EYA4	0	0	0	0	0	0	0
9287	EYS	0.0008030022	0.0039476173	0	0	0	0	0
9288	EZH1	0.030881685	0.0280585734	0.0071369415	0.0210894587	0.0393001753	0.0410018093	0.0242083315
9289	EZH2	0.0110708476	0.0160842541	0.0214753465	0.0214399029	0.0265250837	0	0.008329774
9290	EZR	0.1803094151	0.4606628895	0.2535236304	0.2340499929	0.3190857485	0.2473511263	0.1571610305
9291	EZR.AS1	0	0	0	0	0	0	0
9292	F10	0	0	0	0	0	0	0
9293	F10.AS1	0	0	0	0	0	0	0
9294	F11	0.0006677125	0	0	0	0	0	0
9295	F11.AS1	0	0	0	0	0	0	0
9296	F11R	0.0032169147	0.0063870538	0.0038311993	0.0109136865	0.0238114546	0.0038051145	0.0227351645
9297	F12	0.003063309	0.0011668706	0.0031009008	0.0019455739	0.0037247688	0.0063707667	0.0041696684
9298	F13A1	0.0080562943	0.015554619	0.005312098	0.169203759	0	0.0052178106	0.0293972555
9299	F13B	0	0	0	0	0	0	0
9300	F2	0	0	0	0	0	0	0
9301	F2R	0.0034122479	0.0112010054	0.0095611332	0.0206217037	0.1044232994	0.011265109	0
9302	F2RL1	0.0068554286	0.0041531188	0.0026556433	0	0	0.0036461079	0.0019330068
9303	F2RL2	0	0	0	0	0	0	0.0029904222
9304	F2RL3	0	0	0	0	0	0	0
9305	F3	0	0	0	0	0	0	0
9306	F5	0.0148351912	0.0062375341	0.0092893346	0.0037325548	0.0041606175	0	0.028610073
9307	F7	0	0	0	0	0	0	0
9308	F8	0.006614006	0	0.002771724	0.0064188646	0.0043940411	0.0212855339	0.0044149583
9309	F8A1	0.139560127	0.106620317	0.1876127468	0.1296035947	0.1666726174	0.1305487227	0.1666452097
9310	F8A2	0	0	0	0	0.0040815072	0	0
9311	F8A3	0	0	0	0	0	0	0.0026137859
9312	F9	0	0	0	0	0	0	0
9313	FA2H	0	0.0018893677	0	0	0	0	0.0041059818
9314	FAAH	0.0372927887	0.0078016506	0.0392969488	0.0312721276	0.0397394702	0.0269998988	0.0337299164
9315	FAAH2	0.0115902614	0.0074553877	0.0342206846	0	0.0050795269	0.0074710367	0.0025527579
9316	FABP1	0	0	0	0	0	0	0
9317	FABP12	0	0	0	0	0	0	0
9318	FABP2	0	0	0	0	0	0	0
9319	FABP3	0.0009634664	0	0	0	0	0	0
9320	FABP4	0	0	0	0	0	0	0
9321	FABP5	0.0353606893	0.0390526966	0.0419864564	0.0716478942	0.0242630572	0.0381386907	0.0175805481
9322	FABP6	0	0	0	0	0	0	0
9323	FABP7	0	0	0	0	0	0	0
9324	FABP9	0	0	0	0	0	0	0
9325	FADD	0.0351017596	0.0251426798	0.0316943882	0.011934861	0.079103061	0.0260904049	0.0135267761
9326	FADS1	0.0028659312	0.0090886088	0.0114497652	0.0302810074	0.0212104657	0.0131427698	0.1276835037
9327	FADS2	0.0037819803	0.019762077	0.0143806677	0.0360675906	0.0508937327	0.0049346678	0.0146836122
9328	FADS3	0.0053529086	0.0680314033	0	0.0075175954	0.0040671861	0	0.0095406286
9329	FADS6	0	0	0	0	0	0	0
9330	FAF1	0.0442970055	0.0518072342	0.0418039599	0.0281912709	0.0499008918	0.0370736861	0.0413284259
9331	FAF2	0.0099044968	0.0166202615	0.0273149571	0.0154680218	0.0284045728	0	0.0288159178
9332	FAH	0.0078283455	0	0.0153937411	0.0737469522	0.029298738	0.0072376083	0.0243543746
9333	FAHD1	0.0340894775	0.0373881546	0.0285626354	0.0170899667	0.0245113561	0.0497257053	0.0320504461
9334	FAHD2A	0.0202159591	0.0287784892	0.0315970018	0.0275146963	0.0510393909	0.0164183165	0.0137886048
9335	FAHD2B	0.0142272516	0.0124890238	0.0208684612	0.0021994404	0.0175587456	0	0
9336	FAIM	0.019150033	0.0241857869	0.0322445804	0.009420247	0.041520513	0.0140834466	0.0074830029
9337	FAIM2	0	0	0	0	0	0	0
9338	FAIM3	0.3165867884	0.7741891462	0.3498488021	0.0527533127	0.2570599232	0.2357020379	0.0452509526
9339	FAM101A	0	0	0	0	0	0	0
9340	FAM101B	0.0243250098	0.0040757463	0.0172553709	0.0249657714	0.0121958992	0.0164028104	0.0191782054
9341	FAM102A	0.1349612504	0.0602605437	0.1034976528	0.0247979381	0.0320829137	0.1342643394	0.0176529684
9342	FAM102B	0.0073829282	0	0.0052182268	0.0065713445	0.009299764	0	0.0065421466
9343	FAM103A1	0.0421383086	0.0254709682	0.0293286462	0.0314811862	0.0514901076	0.0300723601	0.0259555208
9344	FAM104A	0.0773524779	0.0622621106	0.2272594842	0.0677606798	0.1433112415	0.1049865446	0.0556610904
9345	FAM104B	0.0186704951	0.0137191964	0.0326188754	0.0510376889	0.0523842289	0.0410041586	0.0234638587
9346	FAM105A	0.0578562679	0.0078326452	0.06034197	0.109982386	0.1024373804	0.0895953362	0.0533511411
9347	FAM105B	0.0202090596	0.030610051	0.0278427651	0.026605082	0.0192728496	0.0172505897	0.0181748288
9348	FAM106A	0	0	0	0.0033050983	0.0059200615	0.0034198389	0
9349	FAM107A	0	0	0	0	0	0	0
9350	FAM107B	0.2521953961	0.2127704811	0.2017298836	0.116468267	0.23513423	0.2489259141	0.0615363618
9351	FAM109A	0.0020758635	0.0173384181	0.006709577	0.0117818825	0.0153740727	0	0.0072181102
9352	FAM109B	0	0	0.0018791065	0.0080011587	0.026942676	0.0040953351	0
9353	FAM110A	0.0422714882	0.0267538283	0.030879754	0.3621184737	0.0887432211	0.0359257595	0.0779276254
9354	FAM110B	0	0	0	0.0105345803	0	0	0.0069513664
9355	FAM110C	0	0	0	0	0	0	0
9356	FAM110D	0	0	0	0	0	0	0
9357	FAM111A	0.0282063191	0.0379448356	0.04588511	0.0237791234	0.0747791066	0.0575371809	0.0343465061
9358	FAM111B	0	0.0245398832	0	0	0.0026770163	0	0
9359	FAM114A1	0	0	0	0.0066916444	0	0	0.0152212447
9360	FAM114A2	0.025804292	0.0431373801	0.0092725243	0.0183456803	0.0222262783	0.0190703543	0.0147219986
9361	FAM115A	0.0081672474	0.0240142672	0.0139000581	0.0031015042	0.0137362273	0.013169996	0.0090947292
9362	FAM115C	0.0161834876	0.0147205794	0.0049036523	0	0.0055674738	0.0118755106	0.0056323265
9363	FAM117A	0.0247197144	0.0402093979	0.0408802526	0.0131796079	0.0310669655	0.0274445773	0.0192954105
9364	FAM117B	0.0245988197	0.0277524351	0.0107235204	0.0167929241	0.0076862991	0.0162866908	0.003772057
9365	FAM118A	0.0284153984	0.0382420274	0.0219270705	0.0430627457	0.0310348099	0.0388912882	0.0145773621
9366	FAM118B	0.0161109039	0.0145002931	0.0101818023	0.045519522	0.028208297	0.0129851958	0.0198325588
9367	FAM120A	0.0287585609	0.0211118713	0.0944551727	0.0761601284	0.0765150391	0.0255085517	0.0509505965
9368	FAM120AOS	0.0539660479	0.0471085229	0.0389767397	0.0465389924	0.0913058482	0.0722285116	0.0368161937
9369	FAM120B	0.0363480994	0.0280831898	0.0489917535	0.04159753	0.0425237642	0.0311454167	0.0312415164
9370	FAM120C	0.0081179762	0.0060626497	0.0054568315	0.0078171509	0.0153067245	0.0170403734	0.0102289582
9371	FAM122A	0.0485640833	0.0676352279	0.0413159562	0.0374722536	0.0814120644	0.0463459234	0.0456673137
9372	FAM122B	0.060775582	0.0452982924	0.048341551	0.0298491647	0.0237694579	0.055075585	0.0283457165
9373	FAM122C	0.0176899052	0.0102809662	0.0261046816	0.0179482519	0.0117112251	0.0047270459	0.0081801502
9374	FAM124A	0	0	0	0	0	0	0
9375	FAM124B	0	0	0	0.0033402185	0	0	0.0018469892
9376	FAM126A	0.0135000217	0.0463683861	0.0035398208	0.0359003217	0.0120208632	0.0159663443	0.0107212908
9377	FAM126B	0.0502128984	0.0315948461	0.0637599676	0.0105773249	0.0535828282	0.0066702075	0.021239743
9378	FAM127A	0.0269372257	0.024313961	0.0115321635	0.0960062214	0.0655838938	0.0364878298	0.118777912
9379	FAM127B	0.0240806651	0.028319735	0.0356707937	0.0524505854	0.0335799482	0.0334237091	0.0269320969
9380	FAM127C	0	0	0	0	0	0	0.0069005803
9381	FAM129A	0.0133190211	0.0077234608	0.0167735305	0.0203750379	0.0674286433	0.0373502849	0.0316949339
9382	FAM129B	0.0056226306	0	0.0048777121	0.0040184635	0	0	0.0163118454
9383	FAM129C	0.0009667477	0.1489112948	0.0036150118	0.0068667289	0.0026770163	0	0.0014977089
9384	FAM131A	0.0013729687	0.0055780599	0.0023547576	0.0054274257	0.0143192862	0	0.0018874286
9385	FAM131B	0	0	0	0.0031400218	0.0043708448	0	0
9386	FAM131C	0	0	0	0	0	0	0
9387	FAM132A	0	0	0	0	0.0041280201	0	0.0025896261
9388	FAM132B	0	0	0	0	0.0099056482	0	0
9389	FAM133A	0	0	0	0	0	0	0
9390	FAM133B	0.0897213554	0.1056372747	0.1087405316	0.0766513196	0.1600268718	0.1077535275	0.0880674595
9391	FAM134A	0.073821792	0.093514661	0.0556249555	0.0598004831	0.093454652	0.0989130378	0.0991284808
9392	FAM134B	0.0717718526	0.017484201	0.0692175889	0.0089287261	0.0138871467	0.0588659093	0.0087816968
9393	FAM134C	0.0663321326	0.0404808088	0.0616443872	0.0222014958	0.0633556752	0.0327551528	0.0324695533
9394	FAM135A	0.0012215655	0.0099342176	0.0054462798	0.0023458332	0.0040220265	0.0039610618	0.0116709696
9395	FAM135B	0	0	0	0	0	0	0
9396	FAM136A	0.0561523253	0.054332025	0.0637819455	0.0840185089	0.0907705575	0.0877649906	0.072378725
9397	FAM138A	0	0	0	0	0	0	0
9398	FAM138B	0	0	0	0	0	0	0
9399	FAM138C	0	0	0	0	0	0	0
9400	FAM138D	0	0	0	0	0	0	0
9401	FAM138E	0	0	0	0	0	0	0
9402	FAM138F	0	0	0	0	0	0	0
9403	FAM13A	0.0090828129	0.003376358	0.0053181046	0.0057977604	0.0125810769	0.0038306366	0.0089160576
9404	FAM13A.AS1	0.0030545427	0.0067234033	0	0.0062932041	0.0052472657	0.002779754	0
9405	FAM13B	0.0132804692	0.0149610121	0.0098036779	0.0326322472	0.0354440517	0.0256693388	0.005876771
9406	FAM13C	0	0	0	0	0	0	0
9407	FAM149A	0	0	0	0	0	0	0
9408	FAM149B1	0.0034140236	0.0113073129	0.0035398208	0.0053562047	0.014299602	0.0098007456	0.0092848193
9409	FAM150A	0	0	0	0	0	0	0
9410	FAM150B	0.0017468387	0	0	0	0.0060121787	0	0
9411	FAM151A	0	0	0	0	0	0	0
9412	FAM151B	0	0	0	0	0	0.0027723936	0.0118249841
9413	FAM153A	0.0143848312	0.0019367128	0.0033195541	0	0	0.0080122784	0.0026987615
9414	FAM153B	0.0137814131	0	0.031753743	0.0009399257	0	0.0117520539	0
9415	FAM153C	0	0	0	0	0	0	0
9416	FAM154A	0.0011428738	0	0	0	0	0	0
9417	FAM154B	0.0043321123	0.0053329031	0	0	0	0	0
9418	FAM155A	0	0	0	0	0	0	0
9419	FAM155B	0	0	0	0	0	0	0
9420	FAM156A	0	0	0	0	0	0	0
9421	FAM156B	0	0	0	0	0	0	0
9422	FAM157A	0.0010393091	0	0	0	0	0	0
9423	FAM157B	0	0	0.0019541526	0	0	0	0.0017011927
9424	FAM159A	0.0897251969	0.1045212992	0.0789517091	0.0019275175	0.071973054	0.1022179411	0.0038087976
9425	FAM159B	0	0	0	0	0	0	0
9426	FAM160A1	0.000932987	0	0	0	0	0	0
9427	FAM160A2	0.0226503653	0.0211350435	0.0254676189	0.0281525368	0.0725614249	0.0200350449	0.0374509201
9428	FAM160B1	0.0035613851	0.005918754	0	0.0089860916	0.0060121787	0.0116995583	0.0088556982
9429	FAM160B2	0.0073898875	0.0112195058	0.0195355329	0.0119673468	0.0182731454	0	0.0043218312
9430	FAM161A	0.0025339792	0.0036477614	0.0084032296	0	0	0.0034198389	0.0054269284
9431	FAM161B	0.0114304174	0.0039413263	0.0033535916	0.0015011152	0.0144902192	0.0119916622	0.0016883777
9432	FAM162A	0.1636000009	0.1384613631	0.1518978527	0.1437887701	0.199659989	0.1731611969	0.0586901603
9433	FAM162B	0	0	0	0	0	0	0
9434	FAM163A	0	0	0.002954924	0	0	0	0
9435	FAM163B	0	0	0	0	0	0	0
9436	FAM166A	0	0	0	0	0.0042120205	0	0
9437	FAM166B	0	0	0	0	0	0	0
9438	FAM167A	0	0.0031850383	0	0.00152553	0	0	0.0023047007
9439	FAM167B	0.001069661	0	0.0039682026	0	0.0108657242	0	0
9440	FAM168A	0.0098881086	0	0.0029257087	0.0023307898	0.0055474506	0.0116781461	0.0210601413
9441	FAM168B	0.0159351687	0.0205803734	0.0223929341	0.015729949	0.0188667109	0.0375491369	0.0287825348
9442	FAM169A	0.0063927334	0.0020197487	0.0111522133	0	0.0116078526	0.0111201765	0.0029765225
9443	FAM169B	0	0	0	0	0	0	0
9444	FAM170A	0	0	0	0	0	0	0
9445	FAM170B	0	0	0	0	0	0	0
9446	FAM170B.AS1	0	0	0	0	0	0	0
9447	FAM171A1	0.0048003229	0	0.0082456084	0.0011863159	0	0	0
9448	FAM171A2	0	0	0	0	0	0	0
9449	FAM171B	0	0	0	0.0021419228	0	0	0
9450	FAM172A	0.0455224873	0.0470114996	0.0255112795	0.0122408418	0.0607354507	0.0431267723	0.027837319
9451	FAM173A	0.0933668732	0.145176249	0.1052250923	0.1124058865	0.1401363558	0.2088069474	0.1663216426
9452	FAM173B	0.0033296261	0.005932751	0.0091359718	0.0039413195	0.0054115222	0.0103172461	0.0050233852
9453	FAM174A	0.0211679259	0.0083756661	0.0155812676	0.0178430886	0.0391032586	0.0235555726	0.0293846593
9454	FAM174B	0.0037624076	0.0050807934	0.0068938417	0.0027893081	0	0	0.0014977089
9455	FAM175A	0.0778164059	0.0767333192	0.0739506746	0.0328397582	0.0456112263	0.0542198879	0.0344178717
9456	FAM175B	0.0255487055	0.0514682406	0.0344016795	0.0215772776	0.023300148	0.0375455787	0.0186018339
9457	FAM177A1	0.1484407301	0.1056230185	0.1425689058	0.0993795331	0.1530323863	0.1262184075	0.1208553715
9458	FAM177B	0	0.0570033188	0	0	0	0	0
9459	FAM178A	0.0203557984	0.0266108747	0.0127155723	0.0103234573	0.0242204301	0.0124447771	0.0141549492
9460	FAM178B	0.0026909011	0	0	0	0	0.0070793467	0
9461	FAM179A	0.0012895459	0	0	0	0.0201198475	0.004042628	0
9462	FAM179B	0.0150900302	0.0198390946	0.0142001488	0.0053264669	0.0267298037	0.0411515831	0.0107244111
9463	FAM180A	0	0	0	0	0	0	0
9464	FAM180B	0	0	0	0	0	0	0
9465	FAM181A	0	0	0	0	0	0	0
9466	FAM181B	0	0	0	0	0	0	0
9467	FAM182B	0.0014300317	0	0	0	0	0	0
9468	FAM183A	0	0	0	0	0	0	0
9469	FAM183B	0	0	0	0	0	0	0
9470	FAM183CP	0	0	0	0	0	0	0
9471	FAM184A	0.0010298822	0	0	0	0	0	0
9472	FAM184B	0	0.0032888062	0	0	0	0	0
9473	FAM185A	0.0087136351	0.0079625995	0.0143422221	0.0044097166	0.0087621123	0.007411123	0.0023286456
9474	FAM186A	0	0	0	0	0	0	0
9475	FAM186B	0	0	0	0	0	0	0
9476	FAM187A	0	0	0	0	0	0	0
9477	FAM187B	0	0	0	0	0	0	0
9478	FAM188A	0.0211268466	0.0036343604	0.0208295955	0.0236535771	0.0229402949	0.0097281786	0.0110870128
9479	FAM188B	0	0	0	0	0	0	0
9480	FAM188B2	0	0	0	0	0	0	0
9481	FAM189A1	0	0	0	0	0	0	0
9482	FAM189A2	0	0	0	0	0	0	0
9483	FAM189B	0.0117795612	0.0035483246	0	0.0081396137	0.0201595461	0.0160008477	0.0126496144
9484	FAM192A	0.0554709145	0.1280102092	0.0686820879	0.1345807584	0.1133349054	0.1213525576	0.1156417666
9485	FAM193A	0.0147340828	0.0088731459	0.0194928809	0.0148980672	0.0093324265	0.0177928957	0.0036712882
9486	FAM193B	0.0097492845	0	0.0044197761	0.0063537567	0.0095011497	0.0127238133	0.0122154109
9487	FAM194A	0	0	0	0	0	0	0
9488	FAM194B	0	0	0	0	0	0	0
9489	FAM195A	0.0654486252	0.0449815847	0.048317836	0.1067421541	0.0281198832	0.0513326869	0.1397002792
9490	FAM195B	0.018724365	0.0026737105	0.0094836932	0.0147749589	0.0192056393	0.0089920319	0.0196858074
9491	FAM196A	0	0	0	0	0	0	0
9492	FAM196B	0	0	0	0	0	0	0
9493	FAM197Y1	0	0	0	0	0	0	0
9494	FAM197Y2	0	0	0	0	0	0	0
9495	FAM197Y3	0	0	0	0	0	0	0
9496	FAM197Y6	0	0	0	0	0	0	0
9497	FAM197Y7	0	0	0	0	0	0	0
9498	FAM197Y8	0	0	0	0	0	0	0
9499	FAM198A	0	0	0.0047654948	0	0	0	0
9500	FAM198B	0	0.0033671644	0	0.0134771789	0	0	0.0279460898
9501	FAM199X	0.0066672352	0.028515108	0.0277073591	0.0081107279	0.0204367726	0.0234000802	0.0117017004
9502	FAM19A1	0.0028395277	0.0049430214	0.0084646875	0	0.0051063791	0.007753342	0
9503	FAM19A2	0.0073311418	0.0172230958	0.0107097545	0.0097923049	0.004064334	0	0.0267633751
9504	FAM19A3	0	0	0	0	0	0	0
9505	FAM19A4	0	0	0	0	0	0	0
9506	FAM19A5	0	0	0	0	0	0	0
9507	FAM200A	0.0121685699	0.0064139654	0.011818907	0.0022298008	0.0026720794	0.0168645926	0.0086704891
9508	FAM200B	0.1093197427	0.0663582534	0.1106331402	0.1009437043	0.1538842357	0.0979788188	0.1920704073
9509	FAM201A	0.0113157743	0	0.014562356	0	0	0.0134376148	0
9510	FAM203A	0	0	0	0	0	0	0
9511	FAM203B	0	0	0	0	0	0	0
9512	FAM204A	0.14944091	0.1319749717	0.1160060039	0.1792662639	0.212682521	0.1535646521	0.1409520514
9513	FAM205A	0	0	0	0	0	0	0
9514	FAM206A	0.0179199947	0.0033730632	0.0110255777	0.0068798075	0.0043642622	0	0.0073968785
9515	FAM207A	0.0562356875	0.0744392993	0.0729079133	0.0764310158	0.0760965739	0.0473589217	0.129469115
9516	FAM208A	0.0218012937	0.0356272869	0.0136640894	0.0053829967	0.0327147065	0.0332438503	0.0120929775
9517	FAM208B	0.0222308665	0.0238579557	0.0292096806	0.0120965444	0.0254870447	0.0281899943	0.0042688729
9518	FAM209A	0.0010991725	0	0	0.0018321741	0	0	0.0072300691
9519	FAM209B	0.0017699847	0	0	0	0	0	0
9520	FAM20A	0	0	0	0.0021674694	0	0	0
9521	FAM20B	0.0048674038	0.011985381	0.010017569	0.007539041	0.0101757852	0.0261463059	0.0084706397
9522	FAM20C	0	0	0	0.0132391044	0	0	0.0108259849
9523	FAM210A	0.0245701847	0.027911862	0.0156295512	0.0063936616	0.0368002547	0.0244611727	0.0181650729
9524	FAM210B	0.1976750364	0.019197981	0.0433182585	0.033668026	0.0200142024	0.0348414271	0.0288021727
9525	FAM211A	0.0467478351	0.0538149342	0.0234780412	0.0504054087	0.022747187	0.0586596498	0.0207431202
9526	FAM211B	0	0	0.0027643262	0	0.0032578641	0	0
9527	FAM212A	0.0020261109	0.0625859288	0	0.0371376869	0	0	0
9528	FAM212B	0.0008997188	0	0.0032081596	0.0192388601	0	0	0.0130721639
9529	FAM212B.AS1	0	0	0	0.0285064728	0	0	0
9530	FAM213A	0.0239563452	0.0286123228	0.0207138691	0.0013777115	0.0100671016	0.0069807452	0.0136605018
9531	FAM213B	0.0146008874	0	0.0386259482	0.0050668327	0.0176009497	0.0178887679	0.0152306583
9532	FAM214A	0.0091715965	0.0266267344	0.0060865244	0.004452561	0.0137299491	0.0119822193	0.0104639882
9533	FAM214B	0.0026365904	0.0078403318	0.0054618602	0.05010965	0.0321787414	0.0098968266	0.058696485
9534	FAM215A	0	0	0	0	0	0	0
9535	FAM216A	0.0105184441	0.0171612089	0.014881238	0.0056784708	0.0115310457	0.0030886155	0.0067139989
9536	FAM216B	0	0	0	0	0	0	0
9537	FAM217A	0	0	0	0	0	0	0
9538	FAM217B	0.0245472031	0.0332105348	0.0401525893	0.0318798679	0.0558780889	0.0448764345	0.0326529437
9539	FAM218A	0.0021848549	0	0.0029257087	0.0020150105	0	0	0.0018890193
9540	FAM219A	0.0022957392	0.0075462577	0.0206918059	0.004995334	0.0147043806	0.003938711	0.0053863898
9541	FAM219B	0.033474863	0.0202264379	0.0511844891	0.0112996141	0.0594736419	0.0586292723	0.0139224532
9542	FAM21A	0.0029102322	0.0011090503	0.0026176096	0.0013316511	0.0037488617	0.0039786219	0.0039542442
9543	FAM21B	0.0013342481	0	0.0123259282	0	0.0192809877	0.0126493471	0.0083971447
9544	FAM21C	0.0055338024	0.0115762088	0.0114122298	0.004007833	0	0.0126138897	0.0098138367
9545	FAM21D	0	0	0	0	0	0	0
9546	FAM220A	0.0047966166	0.0201342077	0.0024369432	0.0102903073	0.0167623115	0.0160618344	0.0015367305
9547	FAM221A	0.0128617937	0.0072009588	0.0059561798	0.0061311716	0.0180722342	0.0129231868	0.0029804806
9548	FAM221B	0	0.0017380058	0	0	0	0	0
9549	FAM222A	0	0	0	0	0	0	0
9550	FAM222A.AS1	0	0	0	0	0	0	0
9551	FAM222B	0.0073037281	0.0019367128	0.0070548398	0.0013584023	0.0313754105	0.0222970494	0.0034495919
9552	FAM224A	0	0	0	0	0	0	0
9553	FAM224B	0	0	0	0	0	0	0
9554	FAM225A	0	0	0	0	0	0	0.0056279257
9555	FAM225B	0	0	0	0	0	0	0
9556	FAM227A	0	0	0	0	0.0046514769	0	0
9557	FAM227B	0.0099010886	0.0164564623	0.0130263726	0	0.0129658614	0.0274160101	0.0026275749
9558	FAM228A	0	0	0.0027077147	0	0	0.0062262081	0.0019506714
9559	FAM228B	0.0187395585	0.0101057126	0.0284142123	0.0244077981	0.0554292325	0.0209129937	0.0642975941
9560	FAM229A	0.0072489952	0	0	0.0050095701	0.0119755373	0	0.0056435642
9561	FAM229B	0.0077793482	0.0132579432	0.0018791065	0.0021185138	0.0052119966	0.018284009	0.0019566315
9562	FAM230A	0	0	0	0	0	0	0
9563	FAM230C	0	0	0	0	0	0	0
9564	FAM231A	0	0	0	0	0	0	0
9565	FAM231B	0	0	0	0	0	0	0
9566	FAM231C	0	0	0	0	0	0	0
9567	FAM231D	0	0	0	0	0	0	0
9568	FAM24A	0	0	0	0	0	0	0
9569	FAM24B	0.0187934772	0.0186001476	0.0201943151	0.0192601852	0.0255990353	0.0241129923	0.0065452181
9570	FAM25A	0	0	0	0	0	0	0
9571	FAM25B	0	0	0	0	0	0	0
9572	FAM25C	0	0	0	0	0	0	0
9573	FAM25D	0	0	0	0	0	0	0
9574	FAM25E	0	0	0	0	0	0	0
9575	FAM25G	0	0	0	0	0	0	0
9576	FAM26D	0	0	0	0	0	0	0
9577	FAM26E	0	0	0	0	0	0	0
9578	FAM26F	0.0756244069	0.7417744773	0.081464865	1.1486195649	0.0973606141	0.0773699183	0.6237355768
9579	FAM27A	0	0.0089284558	0	0.0014002698	0	0	0
9580	FAM27B	0	0	0	0	0	0	0
9581	FAM27C	0	0	0	0	0	0	0
9582	FAM27D1	0	0	0	0	0	0	0
9583	FAM27E1	0	0	0	0	0	0	0
9584	FAM27E2	0	0	0	0	0	0	0
9585	FAM27E3	0	0	0	0	0	0	0
9586	FAM27L	0	0	0	0	0	0	0
9587	FAM32A	0.1327629716	0.1548256344	0.1492225502	0.3553587743	0.1676964489	0.1566197486	0.2399364832
9588	FAM35A	0.0219104416	0.0386764865	0.0428944134	0.0229128474	0.0163343351	0.0530511443	0.0190869063
9589	FAM3A	0.0403610686	0.0755592602	0.0686329246	0.0299399601	0.0811478883	0.025430244	0.0136819228
9590	FAM3B	0	0	0.0015145516	0.0041421947	0	0	0.020303835
9591	FAM3C	0.0322495878	0.1680283806	0.0293986508	0.0314348875	0.1020235276	0.0597221213	0.0223930622
