Rows	baseMean	baseSD	AvExpInCluster	AvExpInOtherClusters	foldChange	log2FoldChange	pval	padj	clusters	gene	cluster_1	cluster_2	cluster_3	cluster_4	cluster_5	cluster_6	cluster_7
BATF3	0.0251299925	0.1707625585	0.1798619631	0.0055403162	32.4642053753	5.0207779919	1.57E-11	3.86E-08	4	BATF3	0.0038813052	0.006112238	0.0045293041	0.1798619631	0	0	0.0172644632
MGLL	0.0167960758	0.1473151616	0.1160929172	0.0042247049	27.4795328019	4.780285571	1.31E-06	0.0030630512	4	MGLL	0.0023946558	0	0	0.1160929172	0.0081807161	0.0034385572	0.0122145147
MS4A4A	0.0328188236	0.205292573	0.2220075433	0.0088667872	25.0381042494	4.6460534282	5.41E-12	1.33E-08	4	MS4A4A	0.0046447588	0.0029530534	0.0093773745	0.2220075433	0.0037057163	0.0076240825	0.02707039
CTD.2006K23.1	0.0320818276	0.2488824609	0.2159185476	0.0088073755	24.5156514342	4.6156311926	8.57E-08	0.0002036544	4	CTD.2006K23.1	0.0023120274	0	0.0032535106	0.2159185476	0	0	0.0467132936
CLEC10A	0.0323866996	0.2544564393	0.2027933465	0.0108125476	18.755371489	4.2292319337	6.74E-07	0.0015842611	4	CLEC10A	0.001174801	0	0	0.2027933465	0	0.0058007793	0.0593745405
TPPP3	0.0442702256	0.2412880054	0.2721120755	0.0154245509	17.6414910317	4.1409005953	3.00E-14	7.49E-11	4	TPPP3	0.002209939	0	0.0060522655	0.2721120755	0.0069371891	0.0035472863	0.0772882474
MS4A7	0.2077192799	0.8026870838	1.2382232363	0.077253424	16.0280693402	4.0025287511	9.96E-23	2.55E-19	4	MS4A7	0.0173693929	0.0832472192	0.019751126	1.2382232363	0.0196572276	0.0165918089	0.3193412995
LILRA3	0.0775917078	0.367410396	0.4623403524	0.0288810154	16.0084521151	4.0007619128	3.90E-17	9.85E-14	4	LILRA3	0.0044154077	0	0.0062036532	0.4623403524	0.0075873692	0	0.1567840481
HMOX1	0.0800648838	0.3519514195	0.4757930236	0.0299641441	15.8787456881	3.9890250489	2.05E-19	5.21E-16	4	HMOX1	0.0099448135	0.0111431384	0.0118354234	0.4757930236	0.0207749186	0	0.1281031901
SLC24A4	0.0137195497	0.1144412578	0.078518546	0.0055157418	14.2353556087	3.8314066279	1.18E-06	0.0027667903	4	SLC24A4	0	0	0	0.078518546	0	0	0.0335828238
RP11.290F20.3	0.1733851641	0.5806625917	0.9896933374	0.0700373372	14.1309389725	3.8207854279	3.34E-33	8.61E-30	4	RP11.290F20.3	0.0120812288	0.0216390091	0.0256111872	0.9896933374	0.0034355307	0.0028336689	0.3598132056
NEURL1	0.0160063238	0.1239890188	0.0892744364	0.0067302924	13.2645702208	3.7295060271	8.81E-07	0.0020683431	4	NEURL1	0.0126198753	0.000860986	0.0149624036	0.0892744364	0	0	0.0044930971
CXCL16	0.0504010435	0.2492308666	0.2769230641	0.0217224643	12.7482342818	3.6722255326	9.82E-15	2.45E-11	4	CXCL16	0.0122984977	0.0226831579	0.0086991775	0.2769230641	0	0.0088618647	0.0748262975
CSF1R	0.0753049089	0.3157192379	0.411637319	0.0327239023	12.5791024437	3.6529570802	1.59E-21	4.06E-18	4	CSF1R	0.0130710674	0.0154208822	0.0033195541	0.411637319	0.0158262064	0.0036545922	0.1422210659
TCF7L2	0.0293377245	0.17419287	0.1603113062	0.0127559536	12.5675673327	3.6516335134	9.82E-12	2.41E-08	4	TCF7L2	0.001949056	0.0185971232	0	0.1603113062	0.0194403923	0.0036567194	0.039319007
P2RY13	0.0143563503	0.1139320831	0.0777833485	0.0063262427	12.2953468115	3.6200405241	2.54E-07	0.0006011878	4	P2RY13	0.0030703553	0	0	0.0777833485	0.0058840002	0	0.0279059326
IFITM3	0.6716519237	1.7634337994	3.5571689499	0.3063341137	11.6120562168	3.5375515564	2.28E-48	5.92E-45	4	IFITM3	0.0488500436	0.0460336822	0.0610791211	3.5571689499	0.228240028	0.0756470344	1.4524156541
APOBEC3B	0.0745384655	0.577113058	0.3903719261	0.0345527066	11.2978682171	3.4979786726	8.25E-07	0.0019362766	4	APOBEC3B	0.001216983	0.0106212145	0.0078949955	0.3903719261	0.0059200615	0.0040980065	0.1851498607
LRRC25	0.1285129488	0.4629571019	0.6696618032	0.0600013744	11.1607743901	3.4803652269	1.91E-24	4.90E-21	4	LRRC25	0.0096337259	0.0208654565	0.006173784	0.6696618032	0.0127254006	0.0166246204	0.3012368286
CTSL	0.0582960347	0.3087586181	0.3031167343	0.0273007707	11.1028636204	3.4728599154	6.68E-16	1.68E-12	4	CTSL	0.0249920687	0.0050576324	0.028997771	0.3031167343	0.0056400101	0.0356329244	0.0615996641
SIGLEC10	0.061949526	0.2964151778	0.3132969901	0.030127948	10.398882476	3.3783565912	9.39E-14	2.34E-10	4	SIGLEC10	0.004764729	0.1028010351	0.0060913581	0.3132969901	0.0203920436	0.003669535	0.0580820881
HES1	0.0179433362	0.1527915821	0.0907256765	0.0087288056	10.3938248907	3.3776547535	3.59E-05	0.081536341	4	HES1	0.0030368432	0.0238756711	0.0046650401	0.0907256765	0	0	0.0221486214
ZNF703	0.0319636222	0.2073958879	0.160596116	0.0156782424	10.2432474437	3.3566012642	6.99E-10	1.70E-06	4	ZNF703	0.0072153249	0.0076424046	0	0.160596116	0.0193030755	0.0031537369	0.0571089068
EMR2	0.0375579523	0.2139550704	0.1875645503	0.0185665267	10.1022960973	3.3366113276	2.06E-11	5.04E-08	4	EMR2	0.0076344511	0.0117697511	0.0113096544	0.1875645503	0.0049748843	0.0036588491	0.0726898764
CDH23	0.0206481386	0.1408332699	0.1025195054	0.0102829014	9.9699006554	3.317579129	4.31E-09	1.04E-05	4	CDH23	0.0080158466	0.0115963678	0	0.1025195054	0	0.007741464	0.030751861
LILRB2	0.1113353823	0.4396348716	0.5519217577	0.0555554135	9.9346170483	3.3124643567	2.26E-17	5.71E-14	4	LILRB2	0.0250154626	0.0179034659	0.0227550849	0.5519217577	0.0200957102	0.0170073313	0.2285542622
LILRB1	0.0652924207	0.2913855182	0.3218847731	0.0328068192	9.8115203256	3.2944767039	2.72E-18	6.89E-15	4	LILRB1	0.0109581499	0.0814660158	0.006282108	0.3218847731	0.0212185847	0.0035096335	0.0808390338
PILRA	0.148737406	0.5383727222	0.7226086494	0.0760830485	9.4976300772	3.2475675658	5.23E-20	1.33E-16	4	PILRA	0.0121701935	0.0221341469	0.0102485862	0.7226086494	0.0341719995	0.0082052088	0.3794747606
LST1	1.8655546347	4.0730391623	8.9594391279	0.9674409435	9.2609674916	3.2111629194	1.98E-58	5.16E-55	4	LST1	0.1566343071	0.1787545788	0.2219954203	8.9594391279	0.1309690814	0.2668915127	4.9672466267
FCGR3A	0.6581554303	1.9397753009	3.1249475177	0.3458498452	9.0355614171	3.1756142445	3.23E-30	8.33E-27	4	FCGR3A	0.0389584745	0.0424450125	0.064644168	3.1249475177	2.3297753421	0.083190036	0.0824264821
CAMK1	0.0658811046	0.3085170316	0.3127635145	0.03462482	9.0329282446	3.1751937484	1.17E-15	2.94E-12	4	CAMK1	0.0114455717	0.0067462992	0.0153930914	0.3127635145	0.005057365	0.0155707709	0.1559819237
LINC00877	0.0354720124	0.2094239169	0.1676159996	0.0187420636	8.9433054376	3.1608081488	1.60E-10	3.90E-07	4	LINC00877	0.0028622599	0.0144406935	0.0062580113	0.1676159996	0.0042804581	0.0043029068	0.0844797624
HCK	0.2050876541	0.5834204997	0.9569217572	0.1099024982	8.7070064183	3.1221767868	3.42E-35	8.84E-32	4	HCK	0.0231157897	0.1083140998	0.0197291655	0.9569217572	0.0124773717	0.0473949217	0.4676562465
SECTM1	0.0238448254	0.1666175656	0.1110504386	0.0128042517	8.6729347084	3.1165202487	1.60E-07	0.0003782121	4	SECTM1	0.0033390289	0.0027088524	0.0018791065	0.1110504386	0.0040843835	0	0.0643987016
RP11.362F19.1	0.0285470431	0.1803500252	0.1325032899	0.0153857732	8.6120657357	3.1063593316	1.26E-08	3.01E-05	4	RP11.362F19.1	0.0063937384	0.0101998116	0.0120977992	0.1325032899	0.0034809251	0.0140635052	0.0503583956
ZDHHC1	0.0226461089	0.1639460467	0.1037283718	0.0123807753	8.3781806214	3.066636987	1.26E-06	0.0029396648	4	ZDHHC1	0.0012983935	0	0.0026022635	0.1037283718	0.0074209222	0	0.0652011185
APOBEC3A	0.2529011168	0.9703313865	1.1519149832	0.1390824237	8.2822469789	3.0500222249	1.20E-18	3.03E-15	4	APOBEC3A	0.0207560922	0.0127533605	0.021418837	1.1519149832	0.0116142732	0.0113426134	0.7617528283
SLC31A2	0.1031411297	0.5724559261	0.4650277824	0.0573248555	8.1121492358	3.0200841932	2.76E-06	0.0064228318	4	SLC31A2	0.015695878	0.0093478899	0.0100633109	0.4650277824	0.0323120834	0.0123097031	0.2685361621
IFI30	0.2834103353	1.1296664565	1.2730518987	0.1581178191	8.0512867278	3.009219368	4.28E-14	1.07E-10	4	IFI30	0.0005427558	0.0528917027	0.0044844573	1.2730518987	0	0.0062828549	0.9059844865
WARS	0.1785203438	0.6805664991	0.8015756264	0.0996390933	8.0447904554	3.0080548432	5.81E-13	1.44E-09	4	WARS	0.0558157459	0.07600191	0.0583043189	0.8015756264	0.0816343181	0.0622628278	0.2779778548
CD300LF	0.0596434655	0.2871642329	0.2673880667	0.0333421816	8.0195132472	3.0035146734	1.25E-15	3.13E-12	4	CD300LF	0.0039644108	0.0097699414	0.0127884504	0.2673880667	0.0085039704	0.0117314087	0.1621525301
LMO2	0.0218779821	0.1507815317	0.0962922103	0.0124568479	7.7300622797	2.9504800377	1.94E-07	0.0004588656	4	LMO2	0.0013477094	0.0051568118	0.0072398689	0.0962922103	0.0050929176	0.0042191027	0.0563382862
CARD9	0.0200388197	0.1546538607	0.0877969158	0.0114603781	7.6609092066	2.9375156232	1.83E-06	0.0042667184	4	CARD9	0.0011815246	0	0.0026693321	0.0877969158	0.0120298982	0.0080335601	0.0504825209
GPBAR1	0.0812574022	0.3670101952	0.3534575732	0.0467957894	7.5531918081	2.9170864236	2.24E-13	5.56E-10	4	GPBAR1	0.0086693641	0.0023081496	0.0032586289	0.3534575732	0.0201149735	0.003119287	0.245579348
ALDH3B1	0.0278726858	0.1850737139	0.1204872626	0.0161473159	7.4617517522	2.8995143634	4.64E-08	0.0001108483	4	ALDH3B1	0.0045257333	0.0043519089	0	0.1204872626	0.0127899389	0.0052178106	0.0718207354
LILRA5	0.1610730874	0.5221686947	0.695432532	0.0934210791	7.4440644339	2.896090543	4.64E-26	1.19E-22	4	LILRA5	0.0046999614	0.0129481332	0.0108506265	0.695432532	0.0214681223	0.0080766284	0.5175919524
SIGLEC5	0.0168073433	0.1391408123	0.0722523647	0.0097877854	7.3818909452	2.8839904244	3.74E-05	0.0848228344	4	SIGLEC5	0	0.003471133	0	0.0722523647	0	0	0.0564476252
AIF1	1.9338037474	3.8866140027	8.2669334988	1.1320046001	7.3029151098	2.8684724606	1.88E-84	4.90E-81	4	AIF1	0.3456127515	0.1060454514	0.3115012882	8.2669334988	0.1329853434	0.1627978413	5.6702066668
FAM110A	0.0847446785	0.3916489383	0.3621184737	0.0496280646	7.2966470974	2.8672336795	1.15E-08	2.75E-05	4	FAM110A	0.0422714882	0.0267538283	0.030879754	0.3621184737	0.0887432211	0.0359257595	0.0779276254
EMR1	0.0184078192	0.1387157818	0.0782559516	0.0108308101	7.2253091734	2.8530593223	4.72E-06	0.0109111786	4	EMR1	0.0100685086	0.0068131743	0.0227502413	0.0782559516	0.0043642622	0.0031537369	0.0178577948
ITGAX	0.0284364062	0.1966902457	0.1197809438	0.0168718284	7.0994643436	2.827710177	6.39E-06	0.0146901541	4	ITGAX	0.0048574436	0.0168509725	0.0030824431	0.1197809438	0.0222343171	0.0029494103	0.0563403299
PTP4A3	0.0423664665	0.2160349113	0.1779058689	0.0252066448	7.0578956626	2.8192381028	1.65E-09	4.00E-06	4	PTP4A3	0.0358652677	0.0096632468	0.0437260698	0.1779058689	0.017377009	0.0248970224	0.0111707696
FCER1G	1.7676905778	3.4282969626	7.3960995902	1.0551118491	7.009777775	2.8093687084	1.30E-68	3.40E-65	4	FCER1G	0.0978116203	0.1045548282	0.1025362989	7.3960995902	2.1838854899	0.146135167	4.2689261297
PLXNB2	0.0350524211	0.1984981557	0.1464962469	0.0209431942	6.9949333096	2.8063103027	1.74E-08	4.18E-05	4	PLXNB2	0.015841348	0.0051282488	0.0029051918	0.1464962469	0.0101479525	0.0032994979	0.0792970659
SERPINA1	0.5347734315	1.2909416818	2.2195169646	0.3214782707	6.904096378	2.787452604	1.08E-49	2.80E-46	4	SERPINA1	0.0814533949	0.0842087317	0.0615100103	2.2195169646	0.0814367678	0.0823421006	1.5541228037
SPI1	0.4121511894	1.1690218022	1.707900654	0.2481042084	6.8838036433	2.7832059459	4.19E-50	1.09E-46	4	SPI1	0.0166683893	0.1879306674	0.0340662579	1.707900654	0.0731279622	0.0201425477	1.211871645
NSMF	0.017369784	0.1416745881	0.0716986873	0.010491531	6.8339584584	2.7727214781	3.55E-05	0.0806474193	4	NSMF	0.0072331209	0.0049613592	0.0036640361	0.0716986873	0.0081913101	0.0105119458	0.0286247674
CD300C	0.0446795365	0.2354919505	0.1842079796	0.0270146866	6.818808693	2.7695197095	3.80E-13	9.41E-10	4	CD300C	0.0055973122	0.0069035445	0	0.1842079796	0.0317354228	0	0.1226294805
RNF144B	0.0191942461	0.1538587453	0.0783253214	0.0117080193	6.6898865802	2.7419817517	1.77E-05	0.040505494	4	RNF144B	0.0074852253	0.0055893147	0.0072921155	0.0783253214	0.0103358415	0.0038051145	0.0354744911
TESC	0.0912520031	0.3673407529	0.3691410874	0.0560701516	6.5835578688	2.7188674521	4.34E-16	1.09E-12	4	TESC	0.0154489586	0.0189510663	0.0200774372	0.3691410874	0.0848915894	0.0387189377	0.1859465925
LILRA1	0.0392256477	0.2064509396	0.1586111611	0.0241109719	6.578381065	2.7177325814	1.15E-10	2.82E-07	4	LILRA1	0.0167444482	0.0122959756	0.0125395534	0.1586111611	0.0119710295	0.0070241195	0.079288282
LILRA2	0.0421657425	0.2274843139	0.1704558454	0.0259237107	6.5752872892	2.7170539304	2.61E-10	6.36E-07	4	LILRA2	0.0021611029	0.0203111243	0.0017709334	0.1704558454	0.0073322293	0.0116517342	0.1199022201
CEBPA	0.0302849366	0.1844570683	0.1216658805	0.0187157495	6.5007217711	2.7005999086	7.92E-08	0.000188441	4	CEBPA	0.0076878509	0	0	0.1216658805	0.0087872545	0	0.0919797314
TIMP1	0.6929965377	1.5308192094	2.7748048078	0.4294314188	6.4615784639	2.6918866361	9.40E-32	2.42E-28	4	TIMP1	0.3019509401	0.0627114004	0.365166509	2.7748048078	0.3087713204	0.3710616588	1.1947426501
TTYH3	0.0284958062	0.1837159848	0.1136886326	0.0177100592	6.4194383162	2.6824470709	2.74E-08	6.55E-05	4	TTYH3	0.0056344386	0.0032202894	0.0037011347	0.1136886326	0	0.0082423248	0.085236828
RHOC	0.3199384832	0.8388107518	1.2710879844	0.1995192136	6.3707547841	2.6714643079	1.26E-26	3.24E-23	4	RHOC	0.0714672577	0.111685475	0.0687332301	1.2710879844	0.8091703207	0.22931581	0.1334426375
CST3	3.6710705939	6.8385526338	14.490246895	2.3013203008	6.2964928827	2.6545484779	4.51E-78	1.18E-74	4	CST3	0.2245556403	0.2962843771	0.1817898672	14.490246895	0.3888660682	0.2087445446	12.7190669376
CD68	0.4614882036	1.1011920092	1.8153531625	0.2900835724	6.2580350469	2.6457097381	1.08E-54	2.82E-51	4	CD68	0.0311735034	0.0853269412	0.0448759327	1.8153531625	0.0527825841	0.0455862894	1.5215999921
CD86	0.0548853541	0.2667547196	0.2152542459	0.0345820213	6.2244552988	2.6379475927	4.58E-10	1.11E-06	4	CD86	0.0052130768	0.0086575252	0.0079838726	0.2152542459	0.0236728121	0	0.1683491588
CPPED1	0.12264513	0.4668663749	0.476181597	0.0778860221	6.1138261292	2.6120755241	1.16E-12	2.86E-09	4	CPPED1	0.0214588074	0.0196392484	0.0280766927	0.476181597	0.0489329943	0.0367435554	0.3297375205
ABI3	0.2671918266	1.1911407175	1.0277572455	0.1709012518	6.0137490789	2.5882646733	2.99E-06	0.0069458887	4	ABI3	0.0624777569	0.0531536089	0.0841806257	1.0277572455	0.6759634324	0.1609273368	0.1706725731
CFP	0.3764013746	0.9652046673	1.4421655949	0.2414714305	5.9724067229	2.5783124168	4.24E-30	1.09E-26	4	CFP	0.051640116	0.0444668151	0.0866686942	1.4421655949	0.0290217829	0.031842624	1.2202889795
LILRB4	0.0560330847	0.2821030857	0.2111576312	0.0363937067	5.8020369575	2.5365594852	9.61E-12	2.36E-08	4	LILRB4	0.0038384852	0.0335920201	0.0066577312	0.2111576312	0.0083391946	0	0.1723123936
CFD	0.6066683518	1.4731189474	2.2861114936	0.3940442414	5.8016619793	2.5364662426	7.34E-40	1.90E-36	4	CFD	0.0397768293	0.021809772	0.0263986114	2.2861114936	0.063500935	0.0446195521	2.2008772106
ARHGEF40	0.0629520178	0.3238624108	0.2369353354	0.0409250452	5.7894947783	2.5334374566	1.43E-10	3.49E-07	4	ARHGEF40	0.0038139583	0.0082456212	0.0118561579	0.2369353354	0.0050795269	0.0068602792	0.2167963733
FAM49A	0.048927463	0.2428223463	0.1841133355	0.0318123996	5.7874708496	2.5329330218	1.08E-10	2.65E-07	4	FAM49A	0.0093993734	0.0282969406	0.0059281936	0.1841133355	0.0509046406	0.00390444	0.103059181
RIN1	0.0191648348	0.154304772	0.0721016776	0.0124628222	5.7853410876	2.5324020191	2.22E-05	0.0505039099	4	RIN1	0.0075842188	0	0	0.0721016776	0.0071808589	0.004755673	0.0519621643
ZNF385A	0.0464055021	0.2258256362	0.1742612195	0.0302184652	5.7667131208	2.5277492538	1.85E-11	4.54E-08	4	ZNF385A	0.0102034279	0.0204796935	0.0091433424	0.1742612195	0	0.0125489979	0.1297356994
MAFB	0.1324133699	0.6653151308	0.4924626649	0.0868297124	5.6715915709	2.5037536433	2.11E-19	5.37E-16	4	MAFB	0.008991936	0.0069429722	0.007693232	0.4924626649	0.0150384107	0.01369956	0.4776685236
ARRB1	0.0434338072	0.2387574498	0.1610947784	0.0285374653	5.6450275781	2.4969806291	7.98E-08	0.0001897676	4	ARRB1	0.0130675767	0.0034042426	0.0092851973	0.1610947784	0.0790332553	0.0037041533	0.0744033327
CD300E	0.0697476692	0.3216388493	0.2586611625	0.0458304775	5.6438679326	2.496684229	2.31E-13	5.73E-10	4	CD300E	0.0073411454	0	0.0039305536	0.2586611625	0.0233814885	0.0028336689	0.2416082749
CEBPB	0.6449512267	1.7138504234	2.3905244594	0.4239547866	5.6386306632	2.4953448479	1.57E-17	3.96E-14	4	CEBPB	0.2664422486	0.1704914251	0.2760717097	2.3905244594	0.2837701409	0.2444784299	1.307743139
SLC2A6	0.0459817231	0.2344209225	0.168990062	0.0304083834	5.5573510663	2.4743973804	7.24E-10	1.76E-06	4	SLC2A6	0.0083140281	0.0681424877	0.0037300152	0.168990062	0.0241117917	0.0131086341	0.0762838524
COTL1	2.5530295786	4.0647086965	9.3744351213	1.6894127947	5.548931055	2.4722098777	2.19E-73	5.71E-70	4	COTL1	0.8471421527	0.9324669268	1.3391670238	9.3744351213	0.5810557805	1.2338148162	5.4729864054
PHF19	0.0429780698	0.2276986929	0.1573100636	0.0285031894	5.5190337205	2.4644157002	5.87E-08	0.0001398446	4	PHF19	0.0228666736	0.0101147807	0.0547015614	0.1573100636	0.0338464499	0.0175752432	0.0410604945
NAGA	0.04624346	0.2446224636	0.1690706226	0.0306930579	5.5084320071	2.4616417095	2.10E-07	0.0004977055	4	NAGA	0.0156348143	0.0190125814	0.0257580223	0.1690706226	0.0298445995	0	0.097119749
BID	0.280113878	0.7556502492	1.0205128062	0.1863764602	5.4755455966	2.4530027255	1.56E-20	3.96E-17	4	BID	0.118327827	0.0928203011	0.0982401445	1.0205128062	0.1566145945	0.1103791181	0.546310608
SCIMP	0.0852555692	0.330068744	0.3096188371	0.0568502966	5.4462132268	2.445253467	2.06E-15	5.15E-12	4	SCIMP	0.0208929322	0.0896368929	0.0200210445	0.3096188371	0.0333556156	0	0.1834194397
CD302	0.0663078333	0.3388962647	0.2401362001	0.0443004781	5.420623221	2.438458731	2.37E-06	0.0055249893	4	CD302	0.0074915867	0.0149151377	0.0112696838	0.2401362001	0	0.0043596419	0.2301801634
LILRB3	0.0449419235	0.2712112916	0.1616588301	0.0301651039	5.3591338799	2.4219998574	2.03E-05	0.0463249593	4	LILRB3	0.0064241199	0.0076039424	0.011213016	0.1616588301	0.0061722473	0	0.1512270705
TBXAS1	0.1341179654	0.4926794362	0.4736711088	0.0911292013	5.1977972143	2.3779003499	5.16E-11	1.26E-07	4	TBXAS1	0.0257564377	0.0336272946	0.0391527697	0.4736711088	0.113177995	0.0144429743	0.3474422858
C19orf38	0.12507439	0.4324825186	0.4393795657	0.0852821179	5.152071457	2.3651526032	1.53E-21	3.91E-18	4	C19orf38	0.0029971646	0.0390654243	0.0081464663	0.4393795657	0	0.0063588613	0.4675106098
SAT1	2.5068353216	4.341867342	8.7724781622	1.7135802828	5.1193855639	2.3559706663	2.89E-51	7.51E-48	4	SAT1	0.5988539898	1.0872804407	1.0218487483	8.7724781622	0.8077064727	0.9403311833	6.2329534209
STXBP2	0.4062428721	0.9419000642	1.4152544523	0.2784980356	5.0817394429	2.3453224057	7.08E-28	1.82E-24	4	STXBP2	0.1057420126	0.143159519	0.1646884497	1.4152544523	0.1987042197	0.1925342777	0.947313029
FCGR2A	0.1198259481	0.8847457815	0.4157159954	0.0823651038	5.0472345259	2.3354931248	4.82E-10	1.17E-06	4	FCGR2A	0.0081618874	0.0115269049	0.0100380708	0.4157159954	0.0092477172	0.0117826905	0.452124907
CPVL	0.1621466786	0.5562737701	0.5623833793	0.1114751374	5.0449220556	2.3348319798	5.22E-18	1.32E-14	4	CPVL	0.0124067612	0.0226797309	0.0159773879	0.5623833793	0.0202425696	0.0142612651	0.5963193584
MBD2	0.0281328089	0.1736708385	0.097298078	0.0193762137	5.0215217203	2.3281246243	4.77E-07	0.0011235455	4	MBD2	0.0080661394	0.0171094018	0.0128318156	0.097298078	0.0254974096	0.0086058137	0.0514277231
CLEC7A	0.0734781706	0.3211885429	0.2538336255	0.0506444603	5.0120708938	2.3254068212	2.00E-09	4.84E-06	4	CLEC7A	0.0085636336	0.0193740406	0.0066743257	0.2538336255	0.0123424164	0.0071023426	0.2544604689
PPM1F	0.0377558381	0.2433201456	0.1303859192	0.0260285054	5.0093509908	2.3246237006	2.36E-05	0.0537460273	4	PPM1F	0.0119822265	0.0095932293	0.0098342729	0.1303859192	0.0141265446	0.0251264933	0.0901805666
ASAH1	0.3870008409	1.055164481	1.3282550057	0.2678343598	4.9592405039	2.3101191921	2.61E-13	6.47E-10	4	ASAH1	0.1474060359	0.2217763611	0.1518338927	1.3282550057	0.2478908912	0.1193745825	0.7523295985
LFNG	0.0456761823	0.2319058282	0.1564687393	0.0316494086	4.9438124219	2.3056240055	1.85E-08	4.44E-05	4	LFNG	0.0181708412	0.0130344257	0.0148044973	0.1564687393	0.0455231585	0.0204999035	0.0845016721
TMEM176B	0.0836344125	0.4013835735	0.2834503628	0.0583369269	4.858849754	2.2806148219	2.87E-06	0.0066647776	4	TMEM176B	0.0059963599	0.008089206	0.0051103662	0.2834503628	0.0113303017	0	0.3235697382
MTMR11	0.0529467134	0.2614648793	0.1789633025	0.0369925173	4.8378243942	2.2743584026	2.35E-08	5.63E-05	4	MTMR11	0.0035611802	0	0.0031448407	0.1789633025	0.0039615449	0	0.2128683102
AP2A1	0.0693261213	0.3088247507	0.2318811255	0.0487460181	4.7569244519	2.250029113	3.42E-13	8.47E-10	4	AP2A1	0.0336038762	0.0432768709	0.0300062434	0.2318811255	0.059647149	0.0292758571	0.1025718323
C5AR1	0.1379549586	0.739718954	0.4601841479	0.0971594753	4.7363795077	2.2437846831	3.54E-16	8.91E-13	4	C5AR1	0.0174174302	0.0094755979	0.0224788368	0.4601841479	0.0206347371	0.0211135807	0.5013506702
SLC7A7	0.1927316343	0.586342449	0.6414021865	0.1359281768	4.7186845389	2.2383847253	2.30E-23	5.87E-20	4	SLC7A7	0.014426884	0.0413201615	0.016937091	0.6414021865	0.0139480598	0.0080412871	0.732936517
LYN	0.214741677	0.7191811966	0.70822933	0.1522641982	4.6513188151	2.2176398298	2.45E-09	5.93E-06	4	LYN	0.0378750879	0.3624855015	0.0548467384	0.70822933	0.2327657864	0.0455827115	0.2716817089
KDM1B	0.0277258132	0.1801989903	0.0910017618	0.0197148292	4.6159041533	2.2066132675	2.74E-06	0.0063901724	4	KDM1B	0.0148828077	0.0311729483	0.0106999967	0.0910017618	0.0156550864	0.0029246946	0.0404924226
CLEC12A	0.0389513718	0.2162985618	0.1278375795	0.0276980282	4.6154036205	2.2064568181	5.25E-06	0.0121064773	4	CLEC12A	0	0.0039381883	0.0031102128	0.1278375795	0.0088446458	0.0039786219	0.1531483573
DUSP6	0.1055341926	0.3815932833	0.3457048655	0.0751276404	4.6015669285	2.2021252123	2.81E-15	7.02E-12	4	DUSP6	0.0325901725	0.0467269912	0.0393508752	0.3457048655	0.0508457432	0.0309649367	0.2609330955
PAK1	0.0506172502	0.2469313473	0.1653810066	0.036087707	4.582751865	2.1962141725	1.25E-10	3.06E-07	4	PAK1	0.0154726569	0.0230031094	0.0146386031	0.1653810066	0.0186368067	0.0052639602	0.1396024823
FTH1	19.8031007526	27.2804345482	64.5239681189	14.141262968	4.562815094	2.1899241904	4.75E-90	1.24E-86	4	FTH1	6.2164320603	7.5734505904	7.20946331	64.5239681189	6.1056551169	6.3944680423	52.4796129211
NINJ1	0.1859946716	0.5311984446	0.605938975	0.1328280703	4.5618292404	2.1896124443	2.29E-17	5.79E-14	4	NINJ1	0.0926267849	0.0248386041	0.1321125632	0.605938975	0.1007758162	0.1067366212	0.3539730718
PLAUR	0.1439156533	0.481277327	0.4675781576	0.1029387067	4.5422967957	2.1834219755	2.98E-18	7.54E-15	4	PLAUR	0.0224154288	0.0316020468	0.0250179186	0.4675781576	0.0280263963	0.0315756832	0.4916061162
STAC3	0.0274046598	0.1940236603	0.0886710543	0.0196480932	4.5129597671	2.174073917	8.53E-06	0.0195763928	4	STAC3	0.003326843	0.0114400244	0.0082475516	0.0886710543	0	0	0.0967442569
BRI3	0.3108370366	0.7706351277	1.0048366041	0.2229739604	4.5065199635	2.1720137817	1.29E-25	3.32E-22	4	BRI3	0.0642631379	0.0442112431	0.0757110846	1.0048366041	0.0834415201	0.0565679276	1.0311521726
TYMP	1.0703438531	2.2459109044	3.4434893881	0.7698942901	4.4726781749	2.161138955	6.25E-47	1.62E-43	4	TYMP	0.1528249064	0.2045349851	0.2155165556	3.4434893881	0.3057146856	0.1208583266	3.7223512168
HK3	0.0283093963	0.1843119161	0.0908881308	0.0203866822	4.4582109886	2.156464895	2.84E-06	0.0066181729	4	HK3	0.0071980707	0.0039857893	0	0.0908881308	0.0099212464	0.0086058137	0.0924902806
SLC11A1	0.1046999587	0.3814008242	0.3342607215	0.0756366628	4.419294943	2.1438162195	3.54E-14	8.84E-11	4	SLC11A1	0.013042202	0.0446978461	0.0212891597	0.3342607215	0.0180113761	0.0045098665	0.3617591113
PSAP	1.5116590289	2.5987952729	4.8229540339	1.0924360514	4.4148616552	2.1423682301	2.41E-61	6.27E-58	4	PSAP	0.4126006986	0.5769191673	0.7883901137	4.8229540339	0.7845011706	0.4684778834	3.8043032268
